iter	Passed	Remaining
0	190	190464
1	222	110899
2	252	83976
3	274	68284
4	296	58936
5	318	52766
6	342	48583
7	364	45254
8	385	42439
9	418	41417
10	455	40973
11	484	39861
12	510	38725
13	533	37556
14	554	36430
15	577	35546
16	600	34712
17	621	33925
18	642	33152
19	664	32575
20	687	32035
21	712	31685
22	735	31234
23	758	30863
24	780	30433
25	804	30122
26	825	29739
27	845	29352
28	865	28975
29	888	28715
30	908	28396
31	934	28255
32	962	28201
33	991	28180
34	1021	28164
35	1052	28180
36	1084	28234
37	1117	28282
38	1150	28343
39	1178	28289
40	1207	28235
41	1233	28134
42	1260	28053
43	1286	27948
44	1313	27880
45	1337	27746
46	1362	27621
47	1387	27512
48	1411	27387
49	1438	27331
50	1464	27245
51	1490	27177
52	1519	27149
53	1548	27123
54	1572	27015
55	1594	26876
56	1618	26775
57	1640	26647
58	1664	26553
59	1688	26458
60	1713	26373
61	1736	26265
62	1769	26313
63	1801	26353
64	1836	26415
65	1868	26448
66	1901	26476
67	1931	26469
68	1960	26455
69	1989	26437
70	2017	26395
71	2045	26358
72	2072	26311
73	2102	26311
74	2134	26322
75	2172	26410
76	2206	26448
77	2238	26459
78	2270	26473
79	2310	26572
80	2349	26657
81	2383	26682
82	2418	26718
83	2447	26687
84	2477	26669
85	2508	26656
86	2539	26650
87	2571	26645
88	2602	26640
89	2633	26628
90	2662	26594
91	2696	26613
92	2730	26630
93	2761	26619
94	2796	26637
95	2828	26630
96	2858	26609
97	2887	26574
98	2918	26560
99	2953	26579
100	2983	26551
101	3007	26481
102	3032	26412
103	3059	26362
104	3084	26293
105	3112	26250
106	3142	26227
107	3173	26208
108	3201	26166
109	3225	26100
110	3256	26081
111	3285	26049
112	3319	26056
113	3346	26010
114	3374	25965
115	3396	25882
116	3418	25798
117	3443	25741
118	3469	25684
119	3493	25621
120	3516	25543
121	3538	25464
122	3565	25421
123	3587	25345
124	3609	25269
125	3630	25185
126	3651	25103
127	3673	25023
128	3698	24969
129	3722	24909
130	3743	24835
131	3767	24775
132	3788	24696
133	3808	24613
134	3829	24538
135	3850	24458
136	3871	24387
137	3897	24346
138	3928	24331
139	3959	24322
140	3989	24306
141	4021	24301
142	4050	24276
143	4078	24241
144	4106	24212
145	4135	24189
146	4161	24145
147	4182	24078
148	4205	24020
149	4228	23962
150	4250	23899
151	4270	23827
152	4293	23769
153	4317	23717
154	4339	23655
155	4360	23593
156	4382	23533
157	4407	23485
158	4429	23426
159	4454	23384
160	4479	23341
161	4500	23281
162	4520	23214
163	4543	23161
164	4568	23120
165	4600	23114
166	4630	23097
167	4659	23077
168	4689	23058
169	4723	23063
170	4752	23039
171	4781	23015
172	4813	23009
173	4843	22992
174	4872	22969
175	4904	22961
176	4933	22940
177	4965	22928
178	4992	22899
179	5020	22872
180	5050	22851
181	5082	22841
182	5132	22915
183	5171	22932
184	5200	22911
185	5233	22902
186	5260	22870
187	5296	22876
188	5328	22865
189	5351	22813
190	5373	22760
191	5396	22712
192	5421	22668
193	5442	22610
194	5465	22561
195	5486	22505
196	5507	22450
197	5528	22391
198	5550	22342
199	5573	22295
200	5597	22250
201	5620	22202
202	5649	22181
203	5673	22138
204	5702	22115
205	5728	22080
206	5751	22032
207	5776	21993
208	5798	21946
209	5819	21893
210	5841	21844
211	5862	21790
212	5884	21742
213	5908	21701
214	5937	21678
215	5969	21666
216	6004	21664
217	6034	21646
218	6069	21643
219	6104	21643
220	6140	21644
221	6174	21639
222	6208	21632
223	6238	21612
224	6272	21606
225	6302	21583
226	6330	21557
227	6359	21532
228	6393	21524
229	6425	21510
230	6450	21473
231	6481	21454
232	6514	21443
233	6541	21413
234	6565	21372
235	6586	21321
236	6608	21275
237	6635	21243
238	6662	21213
239	6691	21188
240	6714	21145
241	6744	21126
242	6772	21098
243	6801	21073
244	6829	21045
245	6854	21010
246	6883	20985
247	6913	20964
248	6946	20950
249	6978	20936
250	7006	20907
251	7036	20886
252	7066	20865
253	7099	20850
254	7136	20851
255	7167	20830
256	7201	20820
257	7231	20797
258	7263	20780
259	7297	20771
260	7335	20768
261	7370	20760
262	7402	20743
263	7438	20738
264	7468	20715
265	7500	20697
266	7532	20679
267	7564	20660
268	7593	20636
269	7622	20608
270	7656	20596
271	7695	20596
272	7734	20596
273	7767	20579
274	7800	20564
275	7825	20528
276	7855	20504
277	7885	20480
278	7915	20456
279	7943	20426
280	7970	20393
281	7996	20360
282	8024	20330
283	8051	20298
284	8084	20281
285	8114	20259
286	8145	20236
287	8177	20217
288	8203	20183
289	8236	20165
290	8268	20145
291	8294	20112
292	8315	20065
293	8337	20022
294	8360	19980
295	8382	19936
296	8406	19897
297	8427	19851
298	8447	19804
299	8470	19763
300	8492	19722
301	8513	19676
302	8536	19635
303	8562	19603
304	8585	19563
305	8608	19522
306	8634	19490
307	8663	19465
308	8692	19437
309	8718	19405
310	8743	19371
311	8769	19338
312	8797	19308
313	8822	19274
314	8848	19240
315	8870	19201
316	8891	19158
317	8920	19132
318	8954	19115
319	8987	19098
320	9016	19071
321	9048	19052
322	9078	19029
323	9107	19002
324	9136	18975
325	9159	18936
326	9183	18901
327	9210	18869
328	9232	18830
329	9253	18788
330	9278	18752
331	9301	18714
332	9324	18676
333	9346	18636
334	9372	18604
335	9402	18581
336	9430	18553
337	9459	18526
338	9481	18488
339	9508	18458
340	9530	18418
341	9551	18376
342	9571	18334
343	9595	18298
344	9619	18262
345	9637	18216
346	9659	18178
347	9682	18141
348	9705	18104
349	9732	18074
350	9761	18048
351	9786	18016
352	9815	17991
353	9843	17962
354	9865	17923
355	9889	17889
356	9917	17862
357	9942	17829
358	9969	17800
359	9991	17761
360	10011	17721
361	10032	17681
362	10056	17647
363	10083	17618
364	10116	17599
365	10145	17573
366	10172	17545
367	10198	17515
368	10224	17483
369	10248	17450
370	10270	17413
371	10293	17376
372	10313	17335
373	10333	17296
374	10358	17263
375	10390	17244
376	10434	17242
377	10473	17234
378	10510	17221
379	10543	17202
380	10574	17179
381	10609	17163
382	10631	17127
383	10654	17091
384	10676	17053
385	10696	17015
386	10718	16977
387	10738	16938
388	10759	16899
389	10782	16864
390	10804	16827
391	10828	16795
392	10852	16762
393	10877	16729
394	10904	16702
395	10933	16676
396	10963	16652
397	10990	16623
398	11018	16596
399	11048	16572
400	11079	16550
401	11107	16522
402	11129	16487
403	11151	16450
404	11173	16415
405	11195	16379
406	11216	16342
407	11235	16303
408	11260	16271
409	11283	16237
410	11304	16200
411	11328	16167
412	11349	16131
413	11373	16098
